Gene,Non-unique Gene name,Annotation,15608_247,21053_8147,11822_158,14410_846,15608_513,21127_2104,14913_283,21127_2150,24820_2209,15682_121,14412_245,21127_264,15608_324,15608_539,15682_350,15682_241,15608_212,15682_157,14412_13,15682_27,21053_8178,15608_533,31588_4131,15608_567,17428_844,21127_288,15682_177,14410_881,21127_2177,24820_2267
group_1292,,hypothetical protein,NKIHGLOF_00224,CAIOAPPO_01938,EGGPCNEA_01689,BOGLFJDA_01167,JLENOMMB_01244,ALHNJLOP_02063,KGLLIHJM_01346,OJAJHHAH_02053,OCGAAEPO_00448,GLNDJCAF_01396,ODFLGDBH_01536,APOOJODC_00803,FONPKMKP_00360,OKOELMAF_00412,PEGMINDJ_01001,BCHKDIOD_00635,LPFDPCGO_01423,BPKFELMP_00194,OEDMFFKP_01813,BCNLJEOI_01459,GLONHLBP_01862,FPEIOILE_01299,PEHMELEN_01227,NFCFPMIG_01277,ELMHKFIJ_02054,GGJPJCAM_01260,JCMFBBHK_00871,FBLGIOPA_01629,IJNFIKKA_00478,NCOGIHLP_00124
sulD,sulD,Bifunctional folate synthesis protein,NKIHGLOF_00864,CAIOAPPO_01201,EGGPCNEA_01746,BOGLFJDA_00303,JLENOMMB_00468,ALHNJLOP_01164,KGLLIHJM_00399,OJAJHHAH_00648,OCGAAEPO_01477,GLNDJCAF_00562,ODFLGDBH_00714,APOOJODC_00764,FONPKMKP_00560,OKOELMAF_00124,PEGMINDJ_00321,BCHKDIOD_00250,LPFDPCGO_00019,BPKFELMP_01524,OEDMFFKP_00233,BCNLJEOI_00042,GLONHLBP_01493,FPEIOILE_00277,PEHMELEN_00597,NFCFPMIG_00620,ELMHKFIJ_00429,GGJPJCAM_00442,JCMFBBHK_00412,FBLGIOPA_00640,IJNFIKKA_01305,NCOGIHLP_00749
fpgS_2~~~fpgS_1,fpgS_2;fpgS_1,Folylpolyglutamate synthase,NKIHGLOF_00862,CAIOAPPO_01203,EGGPCNEA_01748,BOGLFJDA_00305,JLENOMMB_00470,ALHNJLOP_01162,KGLLIHJM_00401,OJAJHHAH_00646,OCGAAEPO_01479,GLNDJCAF_00560,ODFLGDBH_00712,APOOJODC_00762,FONPKMKP_00558,OKOELMAF_00126,PEGMINDJ_00323,BCHKDIOD_00252,LPFDPCGO_00021,BPKFELMP_01526,OEDMFFKP_00235,BCNLJEOI_00044,GLONHLBP_01491,FPEIOILE_00275,PEHMELEN_00599,NFCFPMIG_00622,ELMHKFIJ_00431,GGJPJCAM_00444,JCMFBBHK_00410,FBLGIOPA_00642,IJNFIKKA_01303,NCOGIHLP_00747
radA,radA,DNA repair protein RadA,NKIHGLOF_01335,CAIOAPPO_01443,EGGPCNEA_00966,BOGLFJDA_00892,JLENOMMB_00939,ALHNJLOP_01766,KGLLIHJM_00958,OJAJHHAH_00395,OCGAAEPO_00790,GLNDJCAF_01125,ODFLGDBH_00446,APOOJODC_01776,FONPKMKP_01623,OKOELMAF_02111,PEGMINDJ_02130,BCHKDIOD_01854,LPFDPCGO_01839,BPKFELMP_01502,OEDMFFKP_01432,BCNLJEOI_00826,GLONHLBP_01015,FPEIOILE_00009,PEHMELEN_00867,NFCFPMIG_00977,ELMHKFIJ_02007,GGJPJCAM_00698,JCMFBBHK_01704,FBLGIOPA_00989,IJNFIKKA_00795,NCOGIHLP_01000
group_1291,,hypothetical protein,NKIHGLOF_01079,CAIOAPPO_00847,EGGPCNEA_01483;EGGPCNEA_01484,BOGLFJDA_01103,JLENOMMB_01104,ALHNJLOP_01814,KGLLIHJM_01260,OJAJHHAH_01184,OCGAAEPO_00143,GLNDJCAF_00617,ODFLGDBH_01308,APOOJODC_01327,FONPKMKP_01493,OKOELMAF_00938,PEGMINDJ_00620,BCHKDIOD_01317,LPFDPCGO_00601,BPKFELMP_00562,OEDMFFKP_00623,BCNLJEOI_01054,GLONHLBP_00157,FPEIOILE_01131,PEHMELEN_01569,NFCFPMIG_00527,ELMHKFIJ_00829,GGJPJCAM_01394,JCMFBBHK_00933,FBLGIOPA_01038,IJNFIKKA_00287,NCOGIHLP_01048
group_1290,,hypothetical protein,NKIHGLOF_01414,CAIOAPPO_01622,EGGPCNEA_01273,BOGLFJDA_01557;BOGLFJDA_01556,JLENOMMB_01309;JLENOMMB_01310,ALHNJLOP_01489;ALHNJLOP_01488,KGLLIHJM_01508;KGLLIHJM_01509,OJAJHHAH_01630,OCGAAEPO_01047,GLNDJCAF_01514;GLNDJCAF_01515,ODFLGDBH_01418;ODFLGDBH_01417,APOOJODC_01460,FONPKMKP_01166,OKOELMAF_01241;OKOELMAF_01240,PEGMINDJ_01276,BCHKDIOD_01389;BCHKDIOD_01390,LPFDPCGO_00807,BPKFELMP_00250,OEDMFFKP_01560;OEDMFFKP_01561,BCNLJEOI_01335;BCNLJEOI_01334,GLONHLBP_01323;GLONHLBP_01324,FPEIOILE_01203;FPEIOILE_01204,PEHMELEN_01837;PEHMELEN_01838,NFCFPMIG_01350;NFCFPMIG_01349,ELMHKFIJ_01843,GGJPJCAM_01654,JCMFBBHK_01128,FBLGIOPA_01393;FBLGIOPA_01392,IJNFIKKA_01702;IJNFIKKA_02137,NCOGIHLP_00068
tag_1~~~tag,tag_1;tag,DNA-3-methyladenine glycosylase 1,NKIHGLOF_00760,CAIOAPPO_01753,EGGPCNEA_01171,BOGLFJDA_00423,JLENOMMB_00589,ALHNJLOP_01044,KGLLIHJM_00520,OJAJHHAH_00546,OCGAAEPO_00805,GLNDJCAF_00439,ODFLGDBH_00593,APOOJODC_00660,FONPKMKP_00456,OKOELMAF_00246,PEGMINDJ_01575,BCHKDIOD_00371,LPFDPCGO_00135,BPKFELMP_01066,OEDMFFKP_00354,BCNLJEOI_00163,GLONHLBP_01163,FPEIOILE_00156,PEHMELEN_00719,NFCFPMIG_00741,ELMHKFIJ_00535,GGJPJCAM_00546,JCMFBBHK_00308,FBLGIOPA_00760,IJNFIKKA_00654,NCOGIHLP_00854
group_1284,,hypothetical protein,0_refound_21,1_refound_41,2_refound_60,BOGLFJDA_01126,JLENOMMB_01081,ALHNJLOP_01791,KGLLIHJM_01283,7_refound_143,8_refound_157,GLNDJCAF_00594,ODFLGDBH_01331,11_refound_196,12_refound_212,OKOELMAF_00915,14_refound_260,BCHKDIOD_01294,16_refound_301,17_refound_327,OEDMFFKP_00646,BCNLJEOI_01031,GLONHLBP_00134,FPEIOILE_01108,PEHMELEN_01546,NFCFPMIG_00504,24_refound_430,25_refound_442,26_refound_459,FBLGIOPA_01015,IJNFIKKA_00311,29_refound_498
group_1283,,hypothetical protein,NKIHGLOF_00046,CAIOAPPO_01313,EGGPCNEA_01799,BOGLFJDA_00874,JLENOMMB_01199,ALHNJLOP_02006,KGLLIHJM_02034,OJAJHHAH_01973,OCGAAEPO_00961,GLNDJCAF_01351,ODFLGDBH_02117,APOOJODC_01868,FONPKMKP_01717,OKOELMAF_01952,PEGMINDJ_01046,BCHKDIOD_02207,LPFDPCGO_02056,BPKFELMP_01935,OEDMFFKP_02128,BCNLJEOI_02119,GLONHLBP_02184,FPEIOILE_01979,PEHMELEN_02211,NFCFPMIG_01232,ELMHKFIJ_02148,GGJPJCAM_02005,JCMFBBHK_01016,FBLGIOPA_01364,IJNFIKKA_01338,NCOGIHLP_01742
ydfG,ydfG,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,NKIHGLOF_01483,CAIOAPPO_02228,EGGPCNEA_01358,BOGLFJDA_01488,JLENOMMB_01380,ALHNJLOP_01558,KGLLIHJM_01577,OJAJHHAH_01709,OCGAAEPO_01114,GLNDJCAF_01447,ODFLGDBH_01348,APOOJODC_01537,FONPKMKP_01092,OKOELMAF_01173,PEGMINDJ_01199,BCHKDIOD_01458,LPFDPCGO_00872,BPKFELMP_02035,OEDMFFKP_01493,BCNLJEOI_01403,GLONHLBP_01393,FPEIOILE_01271,PEHMELEN_01769,NFCFPMIG_01418,ELMHKFIJ_01922,GGJPJCAM_01731,JCMFBBHK_01205,FBLGIOPA_01460,IJNFIKKA_01631,NCOGIHLP_00001
ytpP,ytpP,Thioredoxin-like protein YtpP,NKIHGLOF_01481,CAIOAPPO_02230,EGGPCNEA_01356,BOGLFJDA_01490,JLENOMMB_01378,ALHNJLOP_01556,KGLLIHJM_01575,OJAJHHAH_01707,OCGAAEPO_01112,GLNDJCAF_01449,ODFLGDBH_01350,APOOJODC_01535,FONPKMKP_01094,OKOELMAF_01175,PEGMINDJ_01201,BCHKDIOD_01456,LPFDPCGO_00870,BPKFELMP_02037,OEDMFFKP_01495,BCNLJEOI_01401,GLONHLBP_01391,FPEIOILE_01269,PEHMELEN_01771,NFCFPMIG_01416,ELMHKFIJ_01920,GGJPJCAM_01729,JCMFBBHK_01203,FBLGIOPA_01458,IJNFIKKA_01633,NCOGIHLP_00003
group_1281,,hypothetical protein,NKIHGLOF_01031,CAIOAPPO_00342,EGGPCNEA_00851,BOGLFJDA_01872,JLENOMMB_01799,ALHNJLOP_01210,KGLLIHJM_01694,OJAJHHAH_00805,OCGAAEPO_01655,GLNDJCAF_01824,ODFLGDBH_01704,APOOJODC_01081,FONPKMKP_00587,OKOELMAF_01703,PEGMINDJ_00533,BCHKDIOD_00898,LPFDPCGO_01089,BPKFELMP_00013,OEDMFFKP_01003,BCNLJEOI_01748,GLONHLBP_00856,FPEIOILE_01731,PEHMELEN_00360,NFCFPMIG_01795,ELMHKFIJ_00031,GGJPJCAM_01165,JCMFBBHK_00566,FBLGIOPA_01953,IJNFIKKA_01595,NCOGIHLP_01462
pyrF,pyrF,Orotidine 5'-phosphate decarboxylase,NKIHGLOF_00286,CAIOAPPO_00699,EGGPCNEA_00454,BOGLFJDA_00127,JLENOMMB_00334,ALHNJLOP_00347,KGLLIHJM_00902,OJAJHHAH_01045,OCGAAEPO_00389,GLNDJCAF_00746,ODFLGDBH_00846,APOOJODC_00330,FONPKMKP_00038,OKOELMAF_01031,PEGMINDJ_01439,BCHKDIOD_00122,LPFDPCGO_01277,BPKFELMP_00850,OEDMFFKP_00103,BCNLJEOI_00382,GLONHLBP_00569,FPEIOILE_00440,PEHMELEN_01044,NFCFPMIG_00123,ELMHKFIJ_01030,GGJPJCAM_00797,JCMFBBHK_01777,FBLGIOPA_00508,IJNFIKKA_02014,NCOGIHLP_00531
group_1280,thiM_1;thiM_2,Hydroxyethylthiazole kinase,NKIHGLOF_00263,CAIOAPPO_00676,EGGPCNEA_00431,BOGLFJDA_00150,JLENOMMB_00311,ALHNJLOP_00325,KGLLIHJM_00925,OJAJHHAH_01022,OCGAAEPO_00412,GLNDJCAF_02087,ODFLGDBH_00823,APOOJODC_00307,FONPKMKP_00015,OKOELMAF_01008,PEGMINDJ_01416,BCHKDIOD_00099,LPFDPCGO_01253,BPKFELMP_00827,OEDMFFKP_00126,BCNLJEOI_00359,GLONHLBP_00592,FPEIOILE_00417,PEHMELEN_01021,NFCFPMIG_00100,ELMHKFIJ_01006,GGJPJCAM_00774,JCMFBBHK_02070,FBLGIOPA_00531,IJNFIKKA_01990,NCOGIHLP_00507
thiD,thiD,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,NKIHGLOF_00261,CAIOAPPO_00674,EGGPCNEA_00429,BOGLFJDA_00152,JLENOMMB_00309,ALHNJLOP_00323,KGLLIHJM_00927,OJAJHHAH_01020,OCGAAEPO_00414,GLNDJCAF_02085,ODFLGDBH_00821,APOOJODC_00305,FONPKMKP_00013,OKOELMAF_01006,PEGMINDJ_01414,BCHKDIOD_00097,LPFDPCGO_01251,BPKFELMP_00825,OEDMFFKP_00128,BCNLJEOI_00357,GLONHLBP_00594,FPEIOILE_00415,PEHMELEN_01019,NFCFPMIG_00098,ELMHKFIJ_01004,GGJPJCAM_00772,JCMFBBHK_02068,FBLGIOPA_00533,IJNFIKKA_01988,NCOGIHLP_00505
kdgK,kdgK,2-dehydro-3-deoxygluconokinase,NKIHGLOF_01558,CAIOAPPO_01593,EGGPCNEA_00790,BOGLFJDA_01250,JLENOMMB_01659,ALHNJLOP_01630,KGLLIHJM_01586,OJAJHHAH_01601,OCGAAEPO_02042,GLNDJCAF_01649,ODFLGDBH_01094,APOOJODC_01727,FONPKMKP_01346,OKOELMAF_01513,PEGMINDJ_00301,BCHKDIOD_01580,LPFDPCGO_01055,BPKFELMP_00809,OEDMFFKP_01957,BCNLJEOI_02105,GLONHLBP_02026,FPEIOILE_01578,PEHMELEN_02102,NFCFPMIG_02070,ELMHKFIJ_00410,GGJPJCAM_01919,JCMFBBHK_01290,FBLGIOPA_01820,IJNFIKKA_02090,NCOGIHLP_00762
group_1278,,hypothetical protein,NKIHGLOF_01563,CAIOAPPO_00486,EGGPCNEA_01067,BOGLFJDA_01344,JLENOMMB_00238,ALHNJLOP_01315,KGLLIHJM_00089,OJAJHHAH_01717,OCGAAEPO_01327,GLNDJCAF_00962,ODFLGDBH_00091,APOOJODC_02150,FONPKMKP_01351,OKOELMAF_00849,PEGMINDJ_01770,BCHKDIOD_01002,LPFDPCGO_01520,BPKFELMP_02068,OEDMFFKP_00760,BCNLJEOI_01282,GLONHLBP_00754,FPEIOILE_00341,PEHMELEN_00257,NFCFPMIG_00324,ELMHKFIJ_00144,GGJPJCAM_01503,JCMFBBHK_02083,FBLGIOPA_01210,IJNFIKKA_01494,NCOGIHLP_01617
comEC~~~comEC_1~~~comEC_2,comEC;comEC_1;comEC_2,ComE operon protein 3,NKIHGLOF_01081,CAIOAPPO_00849,EGGPCNEA_01486,BOGLFJDA_01101,JLENOMMB_01106,ALHNJLOP_01816,KGLLIHJM_01258,OJAJHHAH_01186,OCGAAEPO_00145,GLNDJCAF_00619,ODFLGDBH_01306,APOOJODC_01329,FONPKMKP_01495,OKOELMAF_00940,PEGMINDJ_00622,BCHKDIOD_01319,LPFDPCGO_00603,BPKFELMP_00564,OEDMFFKP_00621,BCNLJEOI_01056,GLONHLBP_00159;GLONHLBP_00160,FPEIOILE_01133,PEHMELEN_01571,NFCFPMIG_00529,ELMHKFIJ_00831,GGJPJCAM_01396,JCMFBBHK_00935,FBLGIOPA_01040,IJNFIKKA_00285,NCOGIHLP_01050
group_1276,,hypothetical protein,NKIHGLOF_00970,CAIOAPPO_00402,EGGPCNEA_00911,BOGLFJDA_00964,JLENOMMB_00867,ALHNJLOP_01392,KGLLIHJM_01030,OJAJHHAH_00744,OCGAAEPO_00634,GLNDJCAF_01053,ODFLGDBH_01157,APOOJODC_01020,FONPKMKP_00648,OKOELMAF_00058,PEGMINDJ_00472,BCHKDIOD_01222,LPFDPCGO_00691,BPKFELMP_00074,OEDMFFKP_00919,BCNLJEOI_00754,GLONHLBP_00938,FPEIOILE_00934,PEHMELEN_00441,NFCFPMIG_01049,ELMHKFIJ_01773,GGJPJCAM_01104,JCMFBBHK_00505,FBLGIOPA_00917,IJNFIKKA_01895,NCOGIHLP_01352
group_1275,,hypothetical protein,NKIHGLOF_01016,CAIOAPPO_00356,EGGPCNEA_00865,BOGLFJDA_01015,JLENOMMB_00816,ALHNJLOP_01342,KGLLIHJM_01081,OJAJHHAH_00790,OCGAAEPO_02065,GLNDJCAF_01002,ODFLGDBH_01106,APOOJODC_01066,FONPKMKP_00602,OKOELMAF_00007,PEGMINDJ_00518,BCHKDIOD_01269,LPFDPCGO_01075,BPKFELMP_00028,OEDMFFKP_00970,BCNLJEOI_00703,GLONHLBP_00887,FPEIOILE_00883,PEHMELEN_00390,NFCFPMIG_01100,ELMHKFIJ_01722,GGJPJCAM_01150,JCMFBBHK_00551,FBLGIOPA_00866,IJNFIKKA_01609,NCOGIHLP_02065
group_1273,,hypothetical protein,NKIHGLOF_02018,CAIOAPPO_01514,EGGPCNEA_01964,BOGLFJDA_00500,JLENOMMB_00664,ALHNJLOP_02104,KGLLIHJM_00597,OJAJHHAH_00465,OCGAAEPO_00720,GLNDJCAF_00363,ODFLGDBH_00517,APOOJODC_00579,FONPKMKP_02030,OKOELMAF_00321,PEGMINDJ_01857,BCHKDIOD_00447,LPFDPCGO_00193,BPKFELMP_02011,OEDMFFKP_00431,BCNLJEOI_00239,GLONHLBP_01087,FPEIOILE_00081,PEHMELEN_00795,NFCFPMIG_01912,ELMHKFIJ_01937,GGJPJCAM_00627,JCMFBBHK_02104,FBLGIOPA_00837,IJNFIKKA_00727,NCOGIHLP_00930
group_1272,,hypothetical protein,NKIHGLOF_00535,CAIOAPPO_00101,EGGPCNEA_00094,BOGLFJDA_00698,JLENOMMB_00038,ALHNJLOP_00609,KGLLIHJM_00284,OJAJHHAH_00101,OCGAAEPO_01197,GLNDJCAF_00164,ODFLGDBH_00286;ODFLGDBH_00287,APOOJODC_00101,FONPKMKP_00796,OKOELMAF_00724,PEGMINDJ_00120,BCHKDIOD_00831,LPFDPCGO_01192,BPKFELMP_00472,OEDMFFKP_00490,BCNLJEOI_00658,GLONHLBP_00404,FPEIOILE_00719,PEHMELEN_00038,NFCFPMIG_00931,ELMHKFIJ_01393,GGJPJCAM_00101,JCMFBBHK_00126,FBLGIOPA_00154,IJNFIKKA_00903,NCOGIHLP_00326
group_1269,,hypothetical protein,NKIHGLOF_01480,CAIOAPPO_02231,EGGPCNEA_01355,BOGLFJDA_01491,JLENOMMB_01377,ALHNJLOP_01555,KGLLIHJM_01574,OJAJHHAH_01706,OCGAAEPO_01111,GLNDJCAF_01450,ODFLGDBH_01351,APOOJODC_01534,FONPKMKP_01095,OKOELMAF_01176,PEGMINDJ_01202,BCHKDIOD_01455,LPFDPCGO_00869,BPKFELMP_02038,OEDMFFKP_01496,BCNLJEOI_01400,GLONHLBP_01390,FPEIOILE_01268,PEHMELEN_01772,NFCFPMIG_01415,ELMHKFIJ_01919,GGJPJCAM_01728,JCMFBBHK_01202,FBLGIOPA_01457,IJNFIKKA_01634,NCOGIHLP_00004
group_1268,,hypothetical protein,NKIHGLOF_01478,CAIOAPPO_02233,EGGPCNEA_01353,BOGLFJDA_01493,JLENOMMB_01375,ALHNJLOP_01553,KGLLIHJM_01572,OJAJHHAH_01704,OCGAAEPO_01109,GLNDJCAF_01452,ODFLGDBH_01353,APOOJODC_01532,FONPKMKP_01097,OKOELMAF_01178,PEGMINDJ_01204,BCHKDIOD_01453,LPFDPCGO_00867,BPKFELMP_02040,OEDMFFKP_01498,BCNLJEOI_01398,GLONHLBP_01388,FPEIOILE_01266,PEHMELEN_01774,NFCFPMIG_01413,ELMHKFIJ_01917,GGJPJCAM_01726,JCMFBBHK_01200,FBLGIOPA_01455,IJNFIKKA_01636,NCOGIHLP_00006
group_1266,,hypothetical protein,NKIHGLOF_00815,CAIOAPPO_01250,EGGPCNEA_01235,BOGLFJDA_00354,JLENOMMB_00520,ALHNJLOP_01113,KGLLIHJM_00451,OJAJHHAH_00601,OCGAAEPO_01528,GLNDJCAF_00508,ODFLGDBH_00662,APOOJODC_00715,FONPKMKP_00511,OKOELMAF_00177,PEGMINDJ_00370,BCHKDIOD_00302,LPFDPCGO_00070,BPKFELMP_01403,OEDMFFKP_00285,BCNLJEOI_00094,GLONHLBP_01232,FPEIOILE_00225,PEHMELEN_00649,NFCFPMIG_00672,ELMHKFIJ_00482,GGJPJCAM_00491,JCMFBBHK_00363,FBLGIOPA_00691,IJNFIKKA_01255,NCOGIHLP_00698
group_1265,,hypothetical protein,NKIHGLOF_00738,CAIOAPPO_01731,EGGPCNEA_01149,BOGLFJDA_00446,JLENOMMB_00611,ALHNJLOP_01021,KGLLIHJM_00542,OJAJHHAH_00524,OCGAAEPO_00827,GLNDJCAF_00417,ODFLGDBH_00571,APOOJODC_00638,FONPKMKP_00434,OKOELMAF_00268,PEGMINDJ_01597,BCHKDIOD_00393,LPFDPCGO_00153,BPKFELMP_01088,OEDMFFKP_00376,BCNLJEOI_00185,GLONHLBP_01141,FPEIOILE_00134,PEHMELEN_00741,NFCFPMIG_00763,ELMHKFIJ_00550,GGJPJCAM_00568,JCMFBBHK_00285,FBLGIOPA_00782,IJNFIKKA_00669,NCOGIHLP_00874
smc~~~smc_2,smc;smc_2,Chromosome partition protein Smc,NKIHGLOF_01766,CAIOAPPO_00219,EGGPCNEA_00219,BOGLFJDA_01432,JLENOMMB_00742,ALHNJLOP_00722,KGLLIHJM_01155,OJAJHHAH_00219,OCGAAEPO_00045,GLNDJCAF_00275,ODFLGDBH_00395,APOOJODC_00219,FONPKMKP_01693,OKOELMAF_01145,PEGMINDJ_00004,BCHKDIOD_01089,LPFDPCGO_00510,BPKFELMP_01317,OEDMFFKP_01086,BCNLJEOI_00967,GLONHLBP_01573,FPEIOILE_01066,PEHMELEN_01457,NFCFPMIG_01175,ELMHKFIJ_01579,GGJPJCAM_00219,JCMFBBHK_01445,FBLGIOPA_00046,IJNFIKKA_01140,NCOGIHLP_01568
group_1264,,hypothetical protein,NKIHGLOF_01493,CAIOAPPO_01528,EGGPCNEA_00724,BOGLFJDA_00018,JLENOMMB_02086,ALHNJLOP_01570,KGLLIHJM_02083,OJAJHHAH_01539,OCGAAEPO_00276,GLNDJCAF_02058,ODFLGDBH_00954,APOOJODC_01662,FONPKMKP_01281,OKOELMAF_01491,PEGMINDJ_00227,BCHKDIOD_01558,LPFDPCGO_00988,BPKFELMP_00744,OEDMFFKP_02101,BCNLJEOI_02043,GLONHLBP_01760,FPEIOILE_02014,PEHMELEN_02070,NFCFPMIG_01715,ELMHKFIJ_00345,GGJPJCAM_01854,JCMFBBHK_01224,FBLGIOPA_00400,IJNFIKKA_01739,NCOGIHLP_00826
group_1262,,hypothetical protein,NKIHGLOF_01285,CAIOAPPO_01493,EGGPCNEA_01985,BOGLFJDA_00521,JLENOMMB_00685,ALHNJLOP_01715,KGLLIHJM_00619,OJAJHHAH_00445,OCGAAEPO_00740,GLNDJCAF_00342,ODFLGDBH_00496,APOOJODC_00559,FONPKMKP_02010,OKOELMAF_00342,PEGMINDJ_01877,BCHKDIOD_00468,LPFDPCGO_00221,BPKFELMP_02031,OEDMFFKP_00452,BCNLJEOI_00260,GLONHLBP_01066,FPEIOILE_00060,PEHMELEN_00816,NFCFPMIG_01891,ELMHKFIJ_01957,GGJPJCAM_00647,JCMFBBHK_02124,FBLGIOPA_00858,IJNFIKKA_00746,NCOGIHLP_00950
group_1260,,hypothetical protein,NKIHGLOF_01999,CAIOAPPO_02169,EGGPCNEA_02041,BOGLFJDA_00258,JLENOMMB_01853,ALHNJLOP_00215,KGLLIHJM_01788,OJAJHHAH_01506,OCGAAEPO_01902,GLNDJCAF_01887,ODFLGDBH_01906,APOOJODC_01627,FONPKMKP_01444,OKOELMAF_01766,PEGMINDJ_01388,BCHKDIOD_01908,LPFDPCGO_01964,BPKFELMP_01791,OEDMFFKP_02012,BCNLJEOI_01794,GLONHLBP_00704,FPEIOILE_01840,PEHMELEN_00909,NFCFPMIG_01577,ELMHKFIJ_00954,GGJPJCAM_01821,JCMFBBHK_02041,FBLGIOPA_01985,IJNFIKKA_01039,NCOGIHLP_01896
dhaM,dhaM,PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM,NKIHGLOF_01190,CAIOAPPO_01086,EGGPCNEA_00289,BOGLFJDA_02130,JLENOMMB_01598,ALHNJLOP_00962,KGLLIHJM_00383,OJAJHHAH_00290,OCGAAEPO_00099,GLNDJCAF_01340,ODFLGDBH_00979,APOOJODC_01970,FONPKMKP_00987,OKOELMAF_01452,PEGMINDJ_01185,BCHKDIOD_01464,LPFDPCGO_01829,BPKFELMP_01057,OEDMFFKP_01839,BCNLJEOI_01531,GLONHLBP_01985,FPEIOILE_01481,PEHMELEN_02030,NFCFPMIG_00484,ELMHKFIJ_00660,GGJPJCAM_00425,JCMFBBHK_02005,FBLGIOPA_01777,IJNFIKKA_00331,NCOGIHLP_01446
group_1259,,hypothetical protein,NKIHGLOF_00634,CAIOAPPO_02085,EGGPCNEA_01612,BOGLFJDA_00227,JLENOMMB_01516,ALHNJLOP_00248,KGLLIHJM_00782,OJAJHHAH_01473,OCGAAEPO_01868,GLNDJCAF_01554,ODFLGDBH_00746,APOOJODC_01594,FONPKMKP_01035,OKOELMAF_01378,PEGMINDJ_01356,BCHKDIOD_00020,LPFDPCGO_01908,BPKFELMP_00673,OEDMFFKP_00203,BCNLJEOI_00280,GLONHLBP_00672,FPEIOILE_01400,PEHMELEN_00942,NFCFPMIG_00022,ELMHKFIJ_00987,GGJPJCAM_01788,JCMFBBHK_01560,FBLGIOPA_00609,IJNFIKKA_01072,NCOGIHLP_01862
group_1258,,hypothetical protein,NKIHGLOF_00567,CAIOAPPO_00069,EGGPCNEA_00062,BOGLFJDA_00666,JLENOMMB_00070,ALHNJLOP_00577,KGLLIHJM_00252,OJAJHHAH_00069,OCGAAEPO_01229,GLNDJCAF_00132,ODFLGDBH_00254,APOOJODC_00069,FONPKMKP_00828,OKOELMAF_00692,PEGMINDJ_00152,BCHKDIOD_00799,LPFDPCGO_01224,BPKFELMP_00504,OEDMFFKP_00522,BCNLJEOI_00626,GLONHLBP_00372,FPEIOILE_00687,PEHMELEN_00070,NFCFPMIG_00899,ELMHKFIJ_01361,GGJPJCAM_00069,JCMFBBHK_00158,FBLGIOPA_00186,IJNFIKKA_00871,NCOGIHLP_00358
group_1255,,hypothetical protein,NKIHGLOF_00431,CAIOAPPO_01168,EGGPCNEA_00597,BOGLFJDA_01803,JLENOMMB_01424,ALHNJLOP_00494,KGLLIHJM_01437,OJAJHHAH_01338,OCGAAEPO_01934,GLNDJCAF_01721,ODFLGDBH_01644,APOOJODC_00477,FONPKMKP_00183,OKOELMAF_01565,PEGMINDJ_01916,BCHKDIOD_01771,LPFDPCGO_00364,BPKFELMP_00378,OEDMFFKP_01331,BCNLJEOI_01674,GLONHLBP_02043,FPEIOILE_01595,PEHMELEN_01189,NFCFPMIG_01462,ELMHKFIJ_01175,GGJPJCAM_00942,JCMFBBHK_00729,FBLGIOPA_01913,IJNFIKKA_00139,NCOGIHLP_01191
rsmF_2~~~rsmB,rsmF_2;rsmB,Ribosomal RNA small subunit methyltransferase F;Ribosomal RNA small subunit methyltransferase B,NKIHGLOF_01948;NKIHGLOF_01043,CAIOAPPO_00330,EGGPCNEA_00840,BOGLFJDA_01884,JLENOMMB_01788,ALHNJLOP_01221,KGLLIHJM_01706,OJAJHHAH_00817,OCGAAEPO_01666,GLNDJCAF_01835,ODFLGDBH_01692,APOOJODC_01093,FONPKMKP_00575;FONPKMKP_01853,OKOELMAF_01714,PEGMINDJ_00545,BCHKDIOD_00910,LPFDPCGO_01100,BPKFELMP_01654;BPKFELMP_00001,OEDMFFKP_01015,BCNLJEOI_01759,GLONHLBP_00845,FPEIOILE_01720,PEHMELEN_00349,NFCFPMIG_01784,ELMHKFIJ_00042,GGJPJCAM_01177,JCMFBBHK_00578,FBLGIOPA_01965,IJNFIKKA_01584,NCOGIHLP_01473
htrA,htrA,Serine protease Do-like HtrA,NKIHGLOF_00233,CAIOAPPO_01947,EGGPCNEA_01680,BOGLFJDA_01158,JLENOMMB_01235,ALHNJLOP_02054,KGLLIHJM_01337,OJAJHHAH_02044,OCGAAEPO_00439,GLNDJCAF_01387,ODFLGDBH_01527,APOOJODC_00794,FONPKMKP_00369,OKOELMAF_00403,PEGMINDJ_01010,BCHKDIOD_00644,LPFDPCGO_01414,BPKFELMP_00203,OEDMFFKP_01822,BCNLJEOI_01468,GLONHLBP_01853,FPEIOILE_01290,PEHMELEN_01218,NFCFPMIG_01268,ELMHKFIJ_02045,GGJPJCAM_01251,JCMFBBHK_00881,FBLGIOPA_01620,IJNFIKKA_00469,NCOGIHLP_00115
